eps,min_samples,num_clusters,num_anomalies,silhouette_score
11.0,2,70,290,0.6038323290435664
12.0,2,60,258,0.6066625330322887
13.0,2,48,225,0.6208262882039158
14.0,2,46,205,0.6374855648353249
15.0,2,46,184,0.6497438658016216
16.0,2,41,168,0.678430669253163
17.0,2,42,151,0.6782940440293243
18.0,2,39,134,0.6835159602614228
19.0,2,37,124,0.6971802619804258
20.0,2,35,119,0.6964923963946767
21.0,2,32,109,0.7387374711901465
22.0,2,32,106,0.7387031407517076
23.0,2,32,101,0.7381861966308257
24.0,2,31,96,0.7473493682580169
25.0,2,31,87,0.7465613829881347
26.0,2,31,82,0.7464306905245268
27.0,2,30,76,0.778768485731925
28.0,2,30,73,0.7783767836431409
29.0,2,29,64,0.7783145103413649
30.0,2,28,57,0.7772027148252586
31.0,2,22,54,0.7771883286674761
32.0,2,21,49,0.7770903258439326
33.0,2,9,42,0.780730688782932
34.0,2,5,39,0.7850809884281168
35.0,2,5,36,0.7848794863450752
36.0,2,5,35,0.7848093696864733
37.0,2,4,34,0.8143332618609125
38.0,2,4,31,0.8141756634175153
39.0,2,4,29,0.8140673973247221
40.0,2,3,25,0.8134831672998666
41.0,2,4,21,0.8133680685901296
42.0,2,3,19,0.8309313905004622
43.0,2,3,19,0.8309313905004622
44.0,2,3,18,0.8308825401540445
45.0,2,2,18,0.8308935125605494
46.0,2,1,15,-1.0
47.0,2,1,12,-1.0
48.0,2,1,10,-1.0
49.0,2,1,9,-1.0
50.0,2,1,9,-1.0
51.0,2,1,7,-1.0
52.0,2,1,6,-1.0
53.0,2,1,6,-1.0
54.0,2,1,6,-1.0
55.0,2,1,4,-1.0
56.0,2,1,3,-1.0
57.0,2,1,3,-1.0
58.0,2,1,3,-1.0
59.0,2,1,3,-1.0
60.0,2,1,3,-1.0
61.0,2,1,3,-1.0
62.0,2,1,3,-1.0
63.0,2,1,3,-1.0
64.0,2,1,3,-1.0
65.0,2,1,3,-1.0
66.0,2,1,3,-1.0
67.0,2,1,3,-1.0
68.0,2,1,3,-1.0
69.0,2,1,3,-1.0
70.0,2,1,3,-1.0
71.0,2,1,3,-1.0
72.0,2,1,3,-1.0
73.0,2,1,3,-1.0
74.0,2,1,3,-1.0
75.0,2,1,3,-1.0
76.0,2,1,3,-1.0
77.0,2,1,3,-1.0
78.0,2,1,3,-1.0
79.0,2,1,3,-1.0
80.0,2,1,3,-1.0
81.0,2,1,3,-1.0
82.0,2,1,3,-1.0
83.0,2,1,3,-1.0
84.0,2,1,3,-1.0
85.0,2,1,3,-1.0
86.0,2,1,3,-1.0
87.0,2,1,3,-1.0
88.0,2,1,3,-1.0
89.0,2,1,3,-1.0
90.0,2,1,3,-1.0
91.0,2,1,3,-1.0
92.0,2,1,3,-1.0
93.0,2,1,3,-1.0
94.0,2,1,3,-1.0
95.0,2,1,3,-1.0
96.0,2,1,3,-1.0
97.0,2,1,3,-1.0
98.0,2,1,3,-1.0
99.0,2,1,3,-1.0
